minute,timestamp,participant_id,player,team,level,kills,deaths,assists,cs,gold,wards_placed,wards_destroyed,item_ids
6,2026-08-01T11:16:23.794Z,8,ShowMaker,Dplus KIA,6,1,1,0,55,2441,2,0,"[1056,3340,1082,2031,1001,1027]"
6,2026-08-01T11:16:23.794Z,9,Smash,Dplus KIA,5,0,0,0,50,2024,2,0,"[1055,2003,3340,3070,1036]"
6,2026-08-01T11:16:23.794Z,10,Career,Dplus KIA,4,0,1,1,3,1610,1,0,"[3865,3364,1001,2031,2055]"
7,2026-08-01T11:17:23.644Z,1,Kiin,Gen.G,6,0,2,0,44,2209,3,0,"[1055,3340,1001,2031,2055,1036,1042]"
7,2026-08-01T11:17:23.644Z,2,Canyon,Gen.G,6,0,1,1,52,2461,2,0,"[1102,3340,1011,1028,2055]"
7,2026-08-01T11:17:23.644Z,3,Chovy,Gen.G,6,2,0,0,50,2810,4,0,"[1056,3340,1082,2031,1052,1026,1001]"
7,2026-08-01T11:17:23.644Z,4,Ruler,Gen.G,6,0,0,1,61,2522,2,0,"[1055,3340,6690,1001,1036,2055,2003]"
7,2026-08-01T11:17:23.644Z,5,Duro,Gen.G,5,0,1,1,8,1642,1,0,"[3865,3364,1011,2055]"
7,2026-08-01T11:17:23.644Z,6,Siwoo,Dplus KIA,7,0,0,2,63,2818,2,0,"[3340,1055,1036,3047,2031,2055]"
7,2026-08-01T11:17:23.644Z,7,Lucid,Dplus KIA,6,3,0,0,48,3265,5,0,"[1102,3340,2021,1028,1036]"
7,2026-08-01T11:17:23.644Z,8,ShowMaker,Dplus KIA,7,1,1,0,63,2734,3,1,"[1056,3340,1082,2031,1001,1027,1028]"
7,2026-08-01T11:17:23.644Z,9,Smash,Dplus KIA,6,0,0,0,59,2297,2,0,"[1055,2003,3340,3070,3044,1042]"
7,2026-08-01T11:17:23.644Z,10,Career,Dplus KIA,4,0,1,1,6,1820,2,1,"[3865,3364,1001,2031,1028]"
8,2026-08-01T11:18:23.566Z,1,Kiin,Gen.G,6,0,3,0,46,2375,3,1,"[1055,3340,1001,2031,2055,1036,1042]"
8,2026-08-01T11:18:23.566Z,2,Canyon,Gen.G,7,0,1,1,64,2853,2,0,"[1102,3340,1011,1028,2055]"
8,2026-08-01T11:18:23.566Z,3,Chovy,Gen.G,7,2,0,0,58,3083,4,1,"[1056,3340,1082,2031,1052,1026,1001]"
8,2026-08-01T11:18:23.566Z,4,Ruler,Gen.G,6,0,0,1,70,2919,3,0,"[1055,3340,6690,1001,2055,2003,3134]"
8,2026-08-01T11:18:23.566Z,5,Duro,Gen.G,5,0,1,1,13,1936,2,0,"[3364,1011,2055,1028]"
8,2026-08-01T11:18:23.566Z,6,Siwoo,Dplus KIA,7,1,0,2,69,3215,4,0,"[3340,1055,3047,2031,3044]"
8,2026-08-01T11:18:23.566Z,7,Lucid,Dplus KIA,7,3,0,0,66,3752,5,0,"[1102,3340,2021,1028,1036]"
8,2026-08-01T11:18:23.566Z,8,ShowMaker,Dplus KIA,7,1,1,0,74,3040,3,1,"[1056,3340,1082,2031,1001,1027,1028]"
8,2026-08-01T11:18:23.566Z,9,Smash,Dplus KIA,6,0,0,0,69,2583,3,0,"[1055,2003,3340,3070,3044,1042]"
8,2026-08-01T11:18:23.566Z,10,Career,Dplus KIA,4,0,1,2,9,2122,3,1,"[3364,1001,2031,1028,1028,2055]"
9,2026-08-01T11:19:23.811Z,1,Kiin,Gen.G,7,0,3,0,56,2708,4,1,"[1055,3340,1001,2031,1036,1042]"
9,2026-08-01T11:19:23.811Z,2,Canyon,Gen.G,7,0,1,1,68,3051,5,0,"[1102,3340,1011,1028]"
9,2026-08-01T11:19:23.811Z,3,Chovy,Gen.G,7,2,0,0,68,3366,4,2,"[1056,3340,1082,2031,1052,1026,1001]"
9,2026-08-01T11:19:23.811Z,4,Ruler,Gen.G,7,0,0,2,83,3455,4,0,"[1055,3340,6690,1001,2055,3134]"
9,2026-08-01T11:19:23.811Z,5,Duro,Gen.G,6,1,1,1,14,2521,5,1,"[3364,1011,3067,2055]"
9,2026-08-01T11:19:23.811Z,6,Siwoo,Dplus KIA,8,1,0,2,79,3547,4,0,"[3340,1055,3047,2031,3044]"
9,2026-08-01T11:19:23.811Z,7,Lucid,Dplus KIA,7,3,0,0,68,3969,6,0,"[1102,3340,6610]"
9,2026-08-01T11:19:23.811Z,8,ShowMaker,Dplus KIA,8,1,1,0,92,3650,3,2,"[1056,3340,1082,2031,1001,1027,1028]"
9,2026-08-01T11:19:23.811Z,9,Smash,Dplus KIA,7,0,1,0,79,2922,3,0,"[1055,3340,3070,3044,1042,1036,1001]"
9,2026-08-01T11:19:23.811Z,10,Career,Dplus KIA,5,0,1,2,14,2405,7,3,"[3364,1001,2031,1028,1028]"
10,2026-08-01T11:20:23.604Z,1,Kiin,Gen.G,8,0,3,0,67,3049,5,1,"[1055,3340,2031,1036,1042,3009,1028]"
10,2026-08-01T11:20:23.604Z,2,Canyon,Gen.G,7,0,1,1,76,3337,5,0,"[1102,3340,1011,1028]"
10,2026-08-01T11:20:23.604Z,3,Chovy,Gen.G,8,3,1,0,75,3960,5,3,"[1056,3340,1082,2031,1052,1026,3009]"
10,2026-08-01T11:20:23.604Z,4,Ruler,Gen.G,8,0,0,2,94,3802,5,0,"[1055,3340,6690,1001,3134,1029,1036]"
10,2026-08-01T11:20:23.604Z,5,Duro,Gen.G,6,1,1,1,14,2673,8,1,"[3364,1011,3067,2055]"
10,2026-08-01T11:20:23.604Z,6,Siwoo,Dplus KIA,9,1,0,2,91,3941,4,1,"[3340,1055,3047,2031,3044]"
10,2026-08-01T11:20:23.604Z,7,Lucid,Dplus KIA,8,3,0,1,80,4545,7,0,"[1102,3340,6610]"
10,2026-08-01T11:20:23.604Z,8,ShowMaker,Dplus KIA,9,2,2,0,97,4199,3,2,"[1056,1082,2031,1001,6657,2055,3364]"
10,2026-08-01T11:20:23.604Z,9,Smash,Dplus KIA,8,0,1,0,88,3188,4,0,"[1055,3340,3070,3044,1042,1036,1001]"
10,2026-08-01T11:20:23.604Z,10,Career,Dplus KIA,5,0,1,2,16,2597,7,3,"[3364,1001,2031,1028,1028,1036,2055]"
11,2026-08-01T11:21:24.158Z,1,Kiin,Gen.G,8,0,3,0,72,3267,5,1,"[1055,3340,2031,1036,1042,3009,1028]"
11,2026-08-01T11:21:24.158Z,2,Canyon,Gen.G,8,0,1,1,82,3632,6,0,"[1102,2525,3364]"
11,2026-08-01T11:21:24.158Z,3,Chovy,Gen.G,9,3,1,0,93,4406,5,4,"[1056,3340,1082,2031,1052,1026,3009]"
11,2026-08-01T11:21:24.158Z,4,Ruler,Gen.G,8,0,0,2,106,4130,5,0,"[1055,3340,6690,1001,3134,1029,1036]"
11,2026-08-01T11:21:24.158Z,5,Duro,Gen.G,6,1,1,1,14,2833,12,1,"[3364,1011,3067]"
11,2026-08-01T11:21:24.158Z,6,Siwoo,Dplus KIA,9,1,0,2,103,4269,5,1,"[3340,1055,3047,2031,3044,3077]"
11,2026-08-01T11:21:24.158Z,7,Lucid,Dplus KIA,9,3,0,1,88,4854,7,0,"[1102,3340,6610,3111]"
11,2026-08-01T11:21:24.158Z,8,ShowMaker,Dplus KIA,9,2,2,0,106,4559,4,2,"[1056,1082,2031,1001,6657,3364]"
11,2026-08-01T11:21:24.158Z,9,Smash,Dplus KIA,8,0,1,0,100,3516,4,0,"[1055,3340,3070,3044,1042,1036,1001]"
11,2026-08-01T11:21:24.158Z,10,Career,Dplus KIA,6,0,1,2,24,2962,9,7,"[3364,1001,2031,1028,1028,1036,2055]"
12,2026-08-01T11:22:23.915Z,1,Kiin,Gen.G,10,0,3,0,91,3970,5,1,"[1055,3340,2031,1036,1042,3009,1028]"
12,2026-08-01T11:22:23.915Z,2,Canyon,Gen.G,8,0,2,1,82,3752,6,0,"[1102,2525,3364,2055,1029]"
12,2026-08-01T11:22:23.915Z,3,Chovy,Gen.G,9,3,1,0,94,4551,5,4,"[1056,3340,1082,2031,1026,3009,3113]"
12,2026-08-01T11:22:23.915Z,4,Ruler,Gen.G,9,0,0,2,112,4395,6,0,"[1055,1001,1029,3142,3363,2055,2003]"
12,2026-08-01T11:22:23.915Z,5,Duro,Gen.G,6,1,1,1,14,3084,12,1,"[3364,1011,3067,2055]"
12,2026-08-01T11:22:23.915Z,6,Siwoo,Dplus KIA,10,1,0,3,109,4785,5,1,"[3340,1055,3047,2031,3044,3077]"
12,2026-08-01T11:22:23.915Z,7,Lucid,Dplus KIA,9,4,0,1,93,5464,8,1,"[1102,3340,6610,3111]"
12,2026-08-01T11:22:23.915Z,8,ShowMaker,Dplus KIA,10,2,2,1,120,5111,4,2,"[1056,1082,2031,1001,6657,3364]"
12,2026-08-01T11:22:23.915Z,9,Smash,Dplus KIA,9,0,1,0,112,3882,4,0,"[1055,3070,3044,1001,3051,3363,2022]"
12,2026-08-01T11:22:23.915Z,10,Career,Dplus KIA,6,0,1,3,25,3243,11,8,"[3364,1001,2031,1028,2021,1036,2055]"
13,2026-08-01T11:23:23.637Z,1,Kiin,Gen.G,10,0,3,0,102,4313,5,1,"[1055,3340,2031,3009,3044,3051]"
13,2026-08-01T11:23:23.637Z,2,Canyon,Gen.G,8,0,2,1,98,4259,6,2,"[1102,2525,3364,2055,1029]"
13,2026-08-01T11:23:23.637Z,3,Chovy,Gen.G,9,3,1,0,104,4880,5,4,"[1056,3340,1082,2031,1026,3113]"
13,2026-08-01T11:23:23.637Z,4,Ruler,Gen.G,9,0,0,2,122,4993,7,0,"[1055,3142,3363,2003,3047,2055]"
13,2026-08-01T11:23:23.637Z,5,Duro,Gen.G,6,1,1,1,17,3321,15,3,"[3364,1011,3067]"
13,2026-08-01T11:23:23.637Z,6,Siwoo,Dplus KIA,10,1,0,3,117,5101,6,2,"[3340,1055,3047,2031,3044,3077,1042]"
13,2026-08-01T11:23:23.637Z,7,Lucid,Dplus KIA,10,4,0,1,113,6044,8,1,"[3340,6610,3111]"
13,2026-08-01T11:23:23.637Z,8,ShowMaker,Dplus KIA,10,2,2,1,133,5494,4,2,"[1056,1082,2031,6657,3364,3111,2055]"
13,2026-08-01T11:23:23.637Z,9,Smash,Dplus KIA,9,0,1,0,125,4265,5,0,"[1055,3070,3044,1001,3051,3363,2022]"
13,2026-08-01T11:23:23.637Z,10,Career,Dplus KIA,6,0,1,3,29,3491,14,9,"[3364,1001,2031,1028,2021,1036,2055]"
14,2026-08-01T11:24:23.836Z,1,Kiin,Gen.G,11,0,3,1,111,4763,6,1,"[1055,2031,3009,3044,3051,3363,2022]"
14,2026-08-01T11:24:23.836Z,2,Canyon,Gen.G,9,0,2,2,108,4723,7,2,"[2525,3364,3047,2055,1028]"
14,2026-08-01T11:24:23.836Z,3,Chovy,Gen.G,10,3,1,0,111,5119,6,4,"[1056,3340,1082,2031,3100]"
14,2026-08-01T11:24:23.836Z,4,Ruler,Gen.G,10,0,0,2,138,5473,8,0,"[1055,3142,3363,2003,3047]"
14,2026-08-01T11:24:23.836Z,5,Duro,Gen.G,7,2,1,1,17,4067,20,3,"[3364,1011,3067]"
14,2026-08-01T11:24:23.836Z,6,Siwoo,Dplus KIA,11,1,1,3,123,5416,6,2,"[3340,1055,3047,2031,6631]"
14,2026-08-01T11:24:23.836Z,7,Lucid,Dplus KIA,10,4,0,1,121,6385,8,1,"[3340,6610,3111,3044,1028]"
14,2026-08-01T11:24:23.836Z,8,ShowMaker,Dplus KIA,11,2,2,1,140,5829,5,2,"[1056,1082,2031,6657,3364,3111]"
14,2026-08-01T11:24:23.836Z,9,Smash,Dplus KIA,10,0,1,0,137,5182,5,1,"[1055,3070,3363,3078,1036,2055]"
14,2026-08-01T11:24:23.836Z,10,Career,Dplus KIA,7,0,1,3,35,3807,17,12,"[3364,1001,2031,1028,2021,1036]"
15,2026-08-01T11:25:23.802Z,1,Kiin,Gen.G,11,0,3,1,123,5127,6,1,"[1055,2031,3009,3044,3051,3363,3057]"
15,2026-08-01T11:25:23.802Z,2,Canyon,Gen.G,10,0,2,2,115,5079,8,4,"[2525,3364,3047,1028]"
15,2026-08-01T11:25:23.802Z,3,Chovy,Gen.G,10,3,1,0,124,5480,6,5,"[1056,3340,1082,2031,3100]"
15,2026-08-01T11:25:23.802Z,4,Ruler,Gen.G,10,0,1,2,147,5781,9,0,"[1055,3142,3363,3047]"
15,2026-08-01T11:25:23.802Z,5,Duro,Gen.G,7,2,1,1,17,4269,21,3,"[3364,2525,1001,2055,2055]"
15,2026-08-01T11:25:23.802Z,6,Siwoo,Dplus KIA,11,1,1,3,135,5742,7,2,"[1055,3047,2031,6631,3363]"
15,2026-08-01T11:25:23.802Z,7,Lucid,Dplus KIA,11,4,0,2,127,6780,8,2,"[3340,6610,3111,3044,1028]"
15,2026-08-01T11:25:23.802Z,8,ShowMaker,Dplus KIA,11,2,2,1,151,6253,5,3,"[1056,1082,2031,6657,3364,3111,3145]"
15,2026-08-01T11:25:23.802Z,9,Smash,Dplus KIA,10,1,1,0,154,6080,6,1,"[1055,3070,3363,3078,1036]"
15,2026-08-01T11:25:23.802Z,10,Career,Dplus KIA,7,0,1,4,35,4069,17,12,"[3364,1001,2031,1028,2021,1036,2055,2055]"
16,2026-08-01T11:26:23.666Z,1,Kiin,Gen.G,12,0,3,2,135,5619,6,1,"[1055,2031,3009,3363,3078,1028]"
16,2026-08-01T11:26:23.666Z,2,Canyon,Gen.G,11,0,2,2,129,5524,8,4,"[2525,3364,3047,1028]"
16,2026-08-01T11:26:23.666Z,3,Chovy,Gen.G,11,4,1,0,134,6277,7,5,"[1056,3340,1082,2031,3100]"
16,2026-08-01T11:26:23.666Z,4,Ruler,Gen.G,10,0,1,2,153,6056,9,0,"[1055,3142,3363,3047,1018,2055,1042]"
16,2026-08-01T11:26:23.666Z,5,Duro,Gen.G,8,2,1,2,18,4631,23,3,"[3364,2525,1001,2055,2055]"
16,2026-08-01T11:26:23.666Z,6,Siwoo,Dplus KIA,12,1,2,3,144,6058,8,2,"[1055,3047,2031,6631,3363,1036,1028]"
16,2026-08-01T11:26:23.666Z,7,Lucid,Dplus KIA,12,4,0,2,139,7286,9,2,"[6610,3111,3044,1028]"
16,2026-08-01T11:26:23.666Z,8,ShowMaker,Dplus KIA,12,2,2,1,172,7232,5,3,"[1056,1082,2031,6657,3364,3111,3145]"
16,2026-08-01T11:26:23.666Z,9,Smash,Dplus KIA,11,1,1,0,167,6529,6,1,"[1055,3070,3363,3078,3133,1029,1036]"
16,2026-08-01T11:26:23.666Z,10,Career,Dplus KIA,7,0,1,4,37,4360,20,14,"[3364,1001,2031,1028,2021,2055,3133]"
17,2026-08-01T11:27:23.582Z,1,Kiin,Gen.G,13,0,3,2,154,6357,7,1,"[1055,2031,3009,3363,3078,1028]"
17,2026-08-01T11:27:23.582Z,2,Canyon,Gen.G,11,0,2,2,134,5830,8,5,"[2525,3364,3047,1028,1031,2055]"
17,2026-08-01T11:27:23.582Z,3,Chovy,Gen.G,11,4,1,0,139,6536,7,5,"[1056,3340,1082,2031,3100,1058]"
17,2026-08-01T11:27:23.582Z,4,Ruler,Gen.G,11,0,1,2,164,6486,10,0,"[1055,3142,3363,3047,1018,2055,1042]"
17,2026-08-01T11:27:23.582Z,5,Duro,Gen.G,8,2,1,2,18,4863,28,3,"[3364,2525,2055,3158]"
17,2026-08-01T11:27:23.582Z,6,Siwoo,Dplus KIA,12,1,2,3,144,6241,8,2,"[1055,3047,2031,6631,3363,1036,1028]"
17,2026-08-01T11:27:23.582Z,7,Lucid,Dplus KIA,12,4,0,2,144,7609,9,3,"[6610,3111,3044,1028,2055,1037]"
17,2026-08-01T11:27:23.582Z,8,ShowMaker,Dplus KIA,12,2,2,1,188,7790,5,4,"[1056,1082,6657,3364,3111,3145,3067]"
17,2026-08-01T11:27:23.582Z,9,Smash,Dplus KIA,11,1,1,0,183,7086,7,1,"[1055,3070,3363,3078,3133,1029,1036]"
17,2026-08-01T11:27:23.582Z,10,Career,Dplus KIA,8,0,1,4,43,4753,24,15,"[3364,1001,2031,6610]"
18,2026-08-01T11:28:23.847Z,1,Kiin,Gen.G,13,0,3,2,164,6688,8,1,"[1055,3009,3363,3078,2021,1028]"
18,2026-08-01T11:28:23.847Z,2,Canyon,Gen.G,11,0,2,2,146,6251,9,5,"[2525,3364,3047,1028,1031]"
18,2026-08-01T11:28:23.847Z,3,Chovy,Gen.G,11,4,1,0,156,6978,8,5,"[1056,1082,3100,1058,1052,3363]"
18,2026-08-01T11:28:23.847Z,4,Ruler,Gen.G,11,0,1,2,182,6941,10,0,"[1055,3142,3363,3047,1018,2055,3144]"
18,2026-08-01T11:28:23.847Z,5,Duro,Gen.G,8,2,1,2,21,5124,31,6,"[3364,2525,2055,3158,2022]"
18,2026-08-01T11:28:23.847Z,6,Siwoo,Dplus KIA,12,1,2,3,154,6629,9,2,"[1055,3047,2031,6631,3363,3044,2055]"
18,2026-08-01T11:28:23.847Z,7,Lucid,Dplus KIA,12,4,0,2,152,8156,10,3,"[6610,3111,2055,3071]"
18,2026-08-01T11:28:23.847Z,8,ShowMaker,Dplus KIA,12,2,2,1,198,8269,5,7,"[1056,1082,6657,3364,3111,3152,2055,2055]"
18,2026-08-01T11:28:23.847Z,9,Smash,Dplus KIA,12,1,1,0,196,7964,7,2,"[1055,3363,3078,1029,3004,1036,2055]"
18,2026-08-01T11:28:23.847Z,10,Career,Dplus KIA,8,0,1,4,45,5040,27,17,"[3364,1001,2031,6610,2055]"
19,2026-08-01T11:29:23.595Z,1,Kiin,Gen.G,14,1,3,2,177,7514,9,1,"[1055,3009,3363,3078,2021,1028]"
19,2026-08-01T11:29:23.595Z,2,Canyon,Gen.G,12,0,2,2,164,6923,9,7,"[2525,3364,3047,1028,1031]"
19,2026-08-01T11:29:23.595Z,3,Chovy,Gen.G,12,4,1,0,168,7481,8,5,"[1056,1082,3100,1058,3363,3145]"
19,2026-08-01T11:29:23.595Z,4,Ruler,Gen.G,12,0,1,2,192,7431,11,0,"[1055,3142,3363,3047,1018,3144]"
19,2026-08-01T11:29:23.595Z,5,Duro,Gen.G,8,2,1,2,22,5391,34,7,"[3364,2525,3158,2022,2055,2055,1028]"
19,2026-08-01T11:29:23.595Z,6,Siwoo,Dplus KIA,13,1,2,3,170,7074,10,3,"[1055,3047,2031,6631,3363,3044]"
19,2026-08-01T11:29:23.595Z,7,Lucid,Dplus KIA,13,4,0,2,160,8505,11,4,"[6610,3111,3071,1029]"
19,2026-08-01T11:29:23.595Z,8,ShowMaker,Dplus KIA,13,2,2,1,214,8715,7,9,"[1056,1082,6657,3364,3111,3152]"
19,2026-08-01T11:29:23.595Z,9,Smash,Dplus KIA,12,1,1,0,206,8277,8,2,"[1055,3363,3078,1029,3004,1036]"
19,2026-08-01T11:29:23.595Z,10,Career,Dplus KIA,8,0,2,4,45,5216,30,17,"[3364,1001,2031,6610,2055,1028]"
20,2026-08-01T11:30:23.659Z,1,Kiin,Gen.G,14,1,3,2,190,7902,9,1,"[1055,3009,3363,3078,2021,1028,1037]"
20,2026-08-01T11:30:23.659Z,2,Canyon,Gen.G,12,0,2,2,169,7165,10,8,"[2525,3364,3047,1031,3067,1028]"
